code,description
380992,"Finishing agents and dye carriers: to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the paper industry (excluding those with a basis of amylaceous substances)"
380993,"Finishing agents and dye carriers: to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the leather or like (excluding paper and textile) industries, (excluding those with a basis of amylaceous substances)"
380999,"Finishing agents and dye carriers: to accelerate dyeing or fixing of dye-stuffs and other products and preparations, used in the leather or like (excluding textile or paper) industries, n.e.s. in item 3809.9"
381010,"Pickling preparations for metal surfaces: soldering, brazing or welding powders and pastes consisting of metal and other materials"
381090,"Fluxes and other auxiliary preparations: for soldering, brazing or welding, or preparations used as cores or coatings for welding electrodes or rods"
381111,Anti-knock preparations: based on lead compounds
381119,Anti-knock preparations: other than those based on lead compounds
381121,Lubricating oil additives: containing petroleum oils or oils obtained from bituminous minerals
381129,Lubricating oil additives: not containing petroleum oils or oils obtained from bituminous minerals
381190,"Oxidation and gum inhibitors, viscosity improvers, anti-corrosive preparations, other prepared additives for mineral oils or liquids used as mineral oils (including gasoline), n.e.s. in heading no. 3811"
381210,Rubber accelerators: prepared
381220,"Plasticisers, compound: for rubber or plastics"
381230,"Anti-oxidising preparations and other compound stabilisers: for rubber or plastics, n.e.s. or included"
381300,Fire-extinguishers: preparations and charges and charged fire-extinguishing grenades
381400,"Solvents and thinners: organic composite solvents and thinners, n.e.s. or included, prepared paint or varnish removers"
381511,"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with nickel or nickel compounds as the active substance, n.e.s. or included"
381512,"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with precious metal or precious metal compounds as the active substance, n.e.s. or included"
381519,"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with an active substance other than nickel or precious metals or their compounds, n.e.s. or included"
381590,"Reaction initiators, reaction accelerators and catalytic preparations, unsupported, n.e.s. or included"
381600,"Refractory cements, mortars, concretes and similar compositions: other than products of heading no. 3801"
381710,"Alkylbenzenes: mixed, other than those of heading no. 2707 or 2902"
381720,"Alkylnaphthalenes: mixed, other than those of heading no. 2707 or 2902"
381800,"Chemical elements: doped for use in electronics, in the form of discs, wafers or similar forms: chemical compounds doped for use in electronics"
381900,"Hydraulic fluids: for brakes and other prepared liquids for hydraulic transmission, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals"
382000,Anti-freezing preparations and prepared de-icing fluids
382100,"Culture media, prepared: for development of micro-organisms"
382200,"Reagents: composite diagnostic or laboratory reagents, other than those of heading no. 3002 or 3006"
382310,"Binders, prepared: for foundry moulds or cores"
382320,"Acids: naphthenic acids, their water-insoluble salts and their esters"
382330,"Metal carbides: non-agglomerated, mixed together or with metallic binders"
382340,"Cements, mortars or concretes: their prepared additives"
382350,Mortars and concretes: non-refractory
382360,Sorbitol: other than that of item no. 2905.44
382390,"Chemical products, preparations and residual products of chemical or allied industries n.e.s. or included in heading no. 3823"
390110,"Ethylene polymers: in primary forms, polyethylene having a specific gravity of less than 0.94"
390120,"Ethylene polymers: in primary forms, polyethylene having a specific gravity of 0.94 or more"
390130,"Ethylene polymers: in primary forms, ethylene-vinyl acetate copolymers"
390190,"Ethylene polymers: in primary forms, n.e.s. in heading no. 3901"
390210,"Propylene, other olefin polymers: polypropylene in primary forms"
390220,"Propylene, other olefin polymers: polyisobutylene in primary forms"
390230,"Propylene, other olefin polymers: propylene copolymers in primary forms"
390290,"Propylene, other olefin polymers: n.e.s. in heading no. 3902, in primary forms"
390311,"Styrene polymers: expansible polystyrene, in primary forms"
390319,"Styrene polymers: (other than expansible polystyrene), in primary forms"
390320,"Styrene polymers: styrene-acrylonitrile (SAN) copolymers, in primary forms"
390330,"Styrene polymers: acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms"
390390,"Styrene polymers: in primary forms, n.e.s. in heading no. 3903"
390410,"Vinyl chloride, other halogenated olefin polymers: polyvinyl chloride (not mixed with any other substances), in primary forms"
390421,"Vinyl chloride, other halogenated olefin polymers: non-plasticised polyvinyl chloride, in primary forms, mixed with other substances"
390422,"Vinyl chloride, other halogenated olefin polymers: plasticised polyvinyl chloride, in primary forms, mixed with other substances"
390430,"Vinyl chloride, other halogenated olefin polymers: vinyl chloride-vinyl acetate copolymers, in primary forms"
390440,"Vinyl chloride, other halogenated olefin polymers: vinyl chloride copolymers, in primary forms n.e.s. in heading no. 3904"
390450,"Vinyl chloride, other halogenated olefin polymers: vinylidene chloride polymers, in primary forms"
390461,"Halogenated olefin polymers: fluoro-polymers, polytetrafluoroethylene, in primary forms"
390469,"Halogenated olefin polymers: fluoro-polymers (other than polytetrafluoroethylene), in primary forms"
390490,"Vinyl chloride, other halogenated olefin polymers: n.e.s. in heading no. 3904"
390511,"Vinyl acetate polymers: in aqueous dispersion, in primary forms"
390519,"Vinyl acetate polymers: (other than in aqueous dispersion), in primary forms"
390520,Polyvinyl alcohol: whether or not containing unhydrolysed acetate groups
390590,"Vinyl acetate, vinyl ester polymers, vinyl polymers: n.e.s. in heading no. 3905, in primary forms"
390610,"Acrylic polymers: polymethyl methacrylate, in primary forms"
390690,"Acrylic polymers: (other than polymethyl methacrylate), in primary forms"
390710,Polyacetals: in primary forms
390720,"Polyethers: in primary forms, excluding polyacetals"
390730,Epoxide resins: in primary forms
390740,Polycarbonates: in primary forms
390750,Alkyd resins: in primary forms
390760,Polyethylene terephthalate: in primary forms
390791,"Polyesters: n.e.s. in heading no. 3907, unsaturated, in primary forms"
390799,"Polyesters: n.e.s. in heading no. 3907, saturated, in primary forms"
390810,"Polyamides: polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms"
390890,"Polyamides: n.e.s. in heading no. 3908, in primary forms"
390910,"Amino-resins: urea and thiourea resins, in primary forms"
390920,"Amino-resins: melamine resins, in primary forms"
390930,"Amino-resins: n.e.s. in heading no. 3909, in primary forms"
390940,Phenolic resins: in primary forms
390950,Polyurethanes: in primary forms
391000,Silicones: in primary forms
391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes: in primary forms"
391190,"Polysulphides, polysulphones and similar products of chemical synthesis n.e.s. in chapter 39: in primary forms"
391211,"Cellulose acetates: non-plasticised, in primary forms"
391212,"Cellulose acetates: plasticised, in primary forms"
391220,Cellulose nitrates (including collodions): in primary forms
391231,"Cellulose ethers: carboxymethylcellulose and its salts, in primary forms"
391239,"Cellulose ethers: (other than carboxymethylcellulose and its salts), in primary forms"
391290,"Cellulose and its chemical derivatives: n.e.s. in item no. 3912, in primary forms"
391310,"Polymers, natural: alginic acid, its salts and esters, in primary forms"
391390,"Polymers, natural and modified natural: in primary forms (excluding alginic acid, its salts and esters)"
391400,"Ion-exchangers: based on polymers of heading no. 3901 to 3913, in primary forms"
391510,"Ethylene polymers: waste, parings and scrap"
391520,"Styrene polymers: waste, parings and scrap"
391530,"Vinyl chloride polymers: waste, parings and scrap"
391590,"Plastics n.e.s. in heading no. 3915: waste, parings and scrap"
391610,"Ethylene polymers: monofilament, of which any cross-sectional dimension exceeds 1mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked"
391620,"Vinyl chloride polymers: monofilament, of which any cross-sectional dimension exceeds 1mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked"
391690,"Plastics: monofilament, of plastics n.e.s. in heading no. 3916, cross-sectional dimension exceeds 1mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked"
391710,Plastics: artificial guts (sausage casings) of hardened protein or of cellulosic materials
391721,"Plastics: tubes, pipes and hoses thereof, rigid, of polymers of ethylene"
391722,"Plastics: tubes, pipes and hoses thereof, rigid, of polymers of propylene"
391723,"Plastics: tubes, pipes and hoses thereof, rigid, of polymers of vinyl chloride"
391729,"Plastics: tubes, pipes and hoses thereof, rigid, of plastics n.e.s. in heading no. 3917"
391731,"Plastics: tubes, pipes and hoses thereof, flexible, having a minimum burst pressure of 27.6MPa"
391732,"Plastics: tubes, pipes and hoses thereof, other than those of item no. 3917.31, not reinforced or otherwise combined with other materials, without fittings"
391733,"Plastics: tubes, pipes and hoses thereof, other than those of item no. 3917.31, not reinforced or otherwise combined with other materials, with fittings"
391739,"Plastics: tubes, pipes and hoses thereof, n.e.s. in item no. 3917.30"
391740,"Plastics: tube, pipe and hose fittings (eg joints, elbows, flanges)"
391810,"Floor, wall or ceiling coverings: of polymers of vinyl chloride, whether or not self-adhesive, in rolls or in the form of tiles"
391890,"Floor, wall or ceiling coverings: of plastics (excluding polymers of vinyl chloride), whether or not self-adhesive, in rolls or in the form of tiles"
391910,"Plastics: plates, sheets, film, foil, tape, strip, other flat shapes thereof, self-adhesive, in rolls of a width not exceeding 20cm"
391990,"Plastics: plates, sheets, film, foil, tape, strip, other flat shapes thereof, self-adhesive, other than in rolls of a width not exceeding 20cm"
392010,"Plastics: plates, sheets, film, foil and strip, of polymers of ethylene, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392020,"Plastics: of polymers of propylene, plates, sheets, film, foil and strip, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392030,"Plastics: of polymers of styrene, plates, sheets, film, foil and strip, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392041,"Plastics: rigid, of polymers of vinyl chloride, plates, sheets, film, foil and strip, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392042,"Plastics: flexible, of polymers of vinyl chloride, plates, sheets, film, foil and strip, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392051,"Plastics: of acrylic polymers, polymethyl methacrylate, plates, sheets, film, foil and strip, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392059,"Plastics: of acrylic polymers (excluding polymethyl methacrylate), plates, sheets, film, foil and strip, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392061,"Plastics: plates, sheets, film, foil and strip, of polycarbonates, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392062,"Plastics: plates, sheets, film, foil and strip, of polyethylene terephthalate, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392063,"Plastics: plates, sheets, film, foil and strip, of unsaturated polyesters, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392069,"Plastics: plates, sheets, film, foil and strip, of polyesters n.e.s. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392071,"Plastics: plates, sheets, film, foil and strip, of regenerated cellulose: non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392072,"Plastics: plates, sheets, film, foil and strip, of vulcanised fibre, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392073,"Plastics: plates, sheets, film, foil and strip, of cellulose acetate, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392079,"Plastics: plates, sheets, film, foil and strip, of cellulose derivatives n.e.s. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392091,"Plastics: plates, sheets, film, foil and strip, of polyvinyl butyral, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392092,"Plastics: plates, sheets, film, foil and strip, of polyamides, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392093,"Plastics: plates, sheets, film, foil and strip, of amino-resins, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392094,"Plastics: plates, sheets, film, foil and strip, of phenolic resins, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392099,"Plastics: plates, sheets, film, foil and strip, of plastics n.e.s. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
392111,"Plastics: plates, sheets, film, foil and strip, of polymers of styrene, cellular"
392112,"Plastics: plates, sheets, film, foil and strip, of polymers of vinyl chloride, cellular"
392113,"Plastics: plates, sheets, film, foil and strip, of polyurethanes, cellular"
392114,"Plastics: plates, sheets, film, foil and strip, of regenerated cellulose, cellular"
392119,"Plastics: plates, sheets, film, foil and strip, of plastics n.e.s. in heading no. 3921, cellular"
392190,"Plastics: plates, sheets, film, foil and strip, other than cellular"
392210,"Plastics: baths, shower-baths and wash-basins"
392220,Plastics: lavatory seats and covers
392290,"Plastics: bidets, lavatory pans, flushing cisterns and similar sanitary ware n.e.s. in heading no. 3922"
392310,"Plastics: boxes, cases, crates and similar articles for the conveyance or packing of goods"
392321,"Ethylene polymers: sacks and bags (including cones), for the conveyance or packing of goods"
392329,"Plastics: sacks and bags (including cones), for the conveyance or packing of goods, of plastics other than ethylene polymers"
392330,"Plastics: carboys, bottles, flasks and similar articles, for the conveyance or packing of goods"
392340,"Plastics: spools, cops, bobbins and similar supports, for the conveyance or packing of goods"
392350,"Plastics: stoppers, lids, caps and other closures, for the conveyance or packing of goods"
392390,Plastics: articles for the conveyance or packing of goods n.e.s. in heading no. 3923
392410,Plastics: tableware and kitchenware
392490,Plastics: household and toilet articles
392510,"Plastics: builders' ware, reservoirs, tanks, vats and similar containers of a capacity exceeding 300 litres"
392520,"Plastics: builders' ware, doors, windows and their frames and thresholds for doors"
392530,"Plastics: builders' ware, shutters, blinds (including venetian blinds) and similar articles and parts thereof"
392590,"Plastics: builders' ware, n.e.s. or included in heading no. 3925"
392610,Plastics: office or school supplies
392620,Plastics: articles of apparel and clothing accessories (including gloves)
392630,"Plastics: fittings for furniture, coachwork or the like"
392640,Plastics: statuettes and other ornamental articles
392690,Plastics: other articles n.e.s. in chapter 39
400110,"Rubber: natural rubber latex, whether or not pre-vulcanised, in primary forms or in plates, sheets or strip"
400121,"Rubber: natural (excluding latex), in smoked sheets"
400122,"Rubber: technically specified natural rubber (TSNR), in primary forms or in plates, sheets or strip (excluding latex and smoked sheets)"
400129,"Rubber: natural (excluding latex, technically specified natural rubber and smoked sheets), in primary forms or in plates, sheets or strip"
400130,"Balata, gutta-percha, guayule, chicle and similar natural gums: in primary forms or in plates, sheets or strip"
400211,"Rubber: synthetic, styrene-butadiene rubber (SBR) and carboxylated styrene-butadiene rubber (XSBR) latex, in primary forms or in plates, sheets or strip"
400219,"Rubber: synthetic, styrene-butadiene rubber (SBR) and carboxylated styrene-butadiene rubber (XSBR), (other than latex), in primary forms or in plates, sheets or strip"
400220,"Rubber: synthetic, butadiene rubber (BR), in primary forms or in plates, sheets or strip"
400231,"Rubber: synthetic, isobutene-isoprene (butyl) rubber (IIR), in primary forms or in plates, sheets or strip"
400239,"Rubber: synthetic, halo-isobutene-isoprene rubber (CIIR or BIIR), in primary forms or in plates, sheets or strip"
400241,"Rubber: synthetic, chloroprene (chlorobutadiene) rubber (CR), latex, in primary forms or in plates, sheets or strip"
400249,"Rubber: synthetic, chloroprene (chlorobutadiene) rubber (CR), (other than latex), in primary forms or in plates, sheets or strip"
400251,"Rubber: synthetic, acrylonitrile-butadiene rubber (NBR), latex, in primary forms or in plates, sheets or strip"
400259,"Rubber: synthetic, acrylonitrile-butadiene rubber (NBR), (other than latex), in primary forms or in plates, sheets or strip"
400260,"Rubber: synthetic, isoprene rubber (IR), in primary forms or in plates, sheets or strip"
400270,"Rubber: synthetic, ethylene-propylene-non-conjugated diene rubber (EPDM), in primary forms or in plates, sheets or strip"
400280,"Rubber: mixtures of natural and synthetic rubbers of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip"
400291,"Rubber: n.e.s. in chapter 40, latex, in primary forms or in plates, sheets or strip"
400299,"Rubber: n.e.s. in chapter 40, (other than latex), in primary forms or in plates, sheets or strip"
400300,"Rubber: reclaimed rubber, in primary forms or in plates, sheets or strip"
400400,"Rubber: waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom"
400510,"Rubber: unvulcanised, compounded with carbon black or silica, in primary forms or in plates, sheets or strip"
400520,"Rubber: unvulcanised, compounded, solutions and dispersions other than those of item no. 4005.10"
400591,"Rubber: unvulcanised, (compounded other than with carbon black or silica), in plates, sheets and strip"
400599,"Rubber: unvulcanised, (compounded other than with carbon black or silica), in primary forms, (other than plates, sheets, strip, solutions or dispersions)"
400610,"Rubber: unvulcanised, ""camel-back"" strips for retreading rubber tyres"
400690,"Rubber: unvulcanised, other than ""camel back"" strips for retreading rubber tyres"
400700,"Rubber: vulcanised, thread and cord"
400811,"Rubber: vulcanised (other than hard rubber), in plates, sheets and strip of cellular rubber"
400819,"Rubber: vulcanised (other than hard rubber), cellular rubber, (other than in plates, sheets or strip)"
400821,"Rubber: vulcanised (other than hard rubber), in plates, sheets and strip, of non-cellular rubber"
400829,"Rubber: vulcanised (other than hard rubber), non-cellular rubber, in forms other than plates, sheets or strip"
400910,"Rubber: vulcanised (other than hard rubber), tubes, pipes and hoses, not reinforced or otherwise combined with other materials, without fittings"
400920,"Rubber: vulcanised (other than hard rubber), tubes, pipes and hoses, reinforced or otherwise combined only with metal, without fittings"
400930,"Rubber: vulcanised (other than hard rubber), tubes, pipes and hoses, reinforced or otherwise combined only with textile materials, without fittings"
400940,"Rubber: vulcanised (other than hard rubber), tubes, pipes and hoses, reinforced or otherwise combined with materials other than metal or textile materials, without fittings"
400950,"Rubber: vulcanised (other than hard rubber), tubes, pipes and hoses, with fittings"
401010,"Rubber: vulcanised, conveyor or transmission belts or belting of trapezoidal cross-section (v-belts and v-belting)"
401091,"Rubber: vulcanised, conveyor or transmission belts or belting, of a width exceeding 20cm"
401099,"Rubber: vulcanised, conveyor or transmission belts or belting, of a width 20cm or less"
401110,"Rubber: new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)"
401120,"Rubber: new pneumatic tyres, of a kind used on buses or lorries"
401130,"Rubber: new pneumatic tyres, of a kind used on aircraft"
401140,"Rubber: new pneumatic tyres, of a kind used on motorcycles"
401150,"Rubber: new pneumatic tyres, of a kind used on bicycles"
401191,"Rubber: new pneumatic tyres, having a ""herring bone"" or similar tread"
401199,"Rubber: new pneumatic tyres, (other than ""herring bone"" or similar tread)"
401210,Rubber: retreaded tyres
401220,Rubber: used pneumatic tyres
401290,Rubber: tyres n.e.s. in heading no. 4012
401310,"Rubber: inner tubes, of a kind used on motorcars (including station wagons and racing cars), buses and lorries"
401320,"Rubber: inner tubes, of a kind used on bicycles"
401390,"Rubber: inner tubes, n.e.s. in heading no. 4013"
401410,"Rubber: vulcanised (other than hard rubber), sheath contraceptives"
401490,"Rubber: vulcanised (other than hard rubber), hygienic or pharmaceutical articles (excluding sheath contraceptives), with or without fittings of hard rubber"
401511,"Rubber: vulcanised (other than hard rubber), surgical gloves"
401519,"Rubber: vulcanised (other than hard rubber), gloves other than surgical gloves"
401590,"Rubber: vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves)"
401610,"Rubber: vulcanised (other than hard rubber), moulded rubber mats and mats of non-rectangular shape made by cutting from the piece, of cellular rubber"
401691,"Rubber: vulcanised (other than hard rubber), floor coverings and mats, of non-cellular rubber"
401692,"Rubber: vulcanised (other than hard rubber), erasers, of non-cellular rubber"
401693,"Rubber: vulcanised (other than hard rubber), gaskets, washers and other seals, of non-cellular rubber"
401694,"Rubber: vulcanised (other than hard rubber), boat or dock fenders, whether or not inflatable, of non-cellular rubber"
401695,"Rubber: vulcanised (other than hard rubber), inflatable articles (other than boat or dock fenders), of non-cellular rubber"
401699,"Rubber: vulcanised (other than hard rubber), articles n.e.s. in heading no. 4016, of non-cellular rubber"
401700,"Rubber: ebonite and other hard rubbers in all forms, including waste and scrap, and articles of hard rubber"
410110,"Hides and skins: raw, whole, of bovine animals, weight per skin not exceeding 8kg when simply dried, 10kg when dry-salted or 14kg when fresh, wet-salted or otherwise preserved"
410121,"Hides and skins: raw, whole, of bovine animals, fresh or wet-salted, weight per skin exceeding 14kg"
410122,"Hides and skins: raw, of bovine animals, fresh or wet-salted, butts and bends"
410129,"Hides and skins: raw, of bovine animals, fresh or wet-salted, other than whole, but not butts or bends"
410130,"Hides and skins: raw, of bovine animals, preserved in ways n.e.s. in heading no. 4101"
410140,"Hides and skins: raw, of equine animals, fresh or salted, dried, limed, pickled or otherwise preserved (excluding tanned, parchment-dressed or further prepared), whether or not dehaired or split"
410210,"Skins: raw, of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, (but not tanned, parchment-dressed or further prepared), with wool on"
410221,"Skins: raw, of sheep or lambs, pickled (but not tanned, parchment-dressed or further preserved), without wool on"
410229,"Skins: raw, of sheep or lambs, fresh or salted, dried, limed or otherwise preserved other than by pickling, (but not tanned, parchment-dressed or further preserved), without wool on"
410310,"Hides and skins: raw, of goats or kids (fresh or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split"
410320,"Hides and skins: raw, of reptiles (fresh or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split"
410390,"Hides and skins: raw, of animals n.e.s. in this chapter, fresh, salted, dried, limed, pickled or otherwise preserved, (but not tanned, parchment-dressed or further prepared), whether or not dehaired or split (not furskins)"
410410,"Leather: whole bovine skin, without hair on, of a unit surface area not exceeding 28 square feet (2.6m2), excluding leather of heading no. 4108 and 4109"
410421,"Leather: bovine, without hair on, vegetable pre-tanned, (but not further prepared), whether or not split, excluding leather of heading no. 4108 and 4109"
410422,"Leather: bovine, without hair on, pre-tanned, (not vegetable pre-tanned), but not further prepared, whether or not split, excluding leather of heading no. 4108 and 4109"
410429,"Leather: bovine and equine n.e.s. in heading no. 4104, without hair on, tanned or retanned but not further prepared, whether or not split, excluding leather of heading no. 4108 and 4109"
410431,"Leather: bovine and equine, without hair on, parchment-dressed or prepared after tanning, full grains and grain splits, excluding leather of heading no. 4108 and 4109"
410439,"Leather: bovine and equine, without hair on,( excluding full grains and grain splits), parchment-dressed or prepared after tanning excluding leather of heading no. 4108 and 4109"
410511,"Leather: of sheep or lamb, without wool on, tanned or retanned (but not further prepared), vegetable pre-tanned, whether or not split, excluding leather of heading no. 4108 and 4109"
410512,"Leather: of sheep or lamb, without wool on, tanned or retanned (but not further prepared), pre-tanned (not vegetable pre-tanned), whether or not split, excluding leather of heading no. 4108 and 4109"
410519,"Leather: of sheep or lamb, without wool on, tanned or retanned (but not further prepared), whether or not split, n.e.s. in heading no. 4105 (not pre-tanned), excluding leather of heading no. 4108 and 4109"
410520,"Leather: of sheep or lamb, without wool on, parchment-dressed or prepared after tanning, excluding leather of heading no. 4108 and 4109"
410611,"Leather: goat or kid skin, without hair on, vegetable pre-tanned but not further prepared, whether or not split, excluding leather of heading no. 4108 and 4109"
410612,"Leather: goat or kid skin, without hair on, pre-tanned (not vegetable pre-tanned) not further prepared, whether or not split, excluding leather of heading no. 4108 and 4109"
410619,"Leather: goat or kid skin, without hair on, tanned or retanned but not further prepared, whether or not split, n.e.s. in heading no. 4106 (not pre-tanned), excluding leather of heading no. 4108 and 4109"
410620,"Leather: goat or kid skin, without hair on, parchment-dressed or prepared after tanning excluding leather of heading no. 4108 and 4109"
410710,"Leather: of swine, without hair on, excluding leather of heading no. 4108 or 4109"
410721,"Leather: of reptiles, without hair on, vegetable pre-tanned, excluding leather of heading no. 4108 or 4109"
410729,"Leather: of reptiles, without hair on, other than vegetable pre-tanned, excluding leather of heading no. 4108 or 4109"
410790,"Leather: of animals n.e.s. in chapter 41, without hair on, excluding leather of heading no. 4108 or 4109"
410800,Leather: chamois (including combination chamois) leather
410900,"Leather: patent and patent laminated leather, metallised leather"
411000,"Leather or composition leather: parings and other waste (not suitable for the manufacture of leather articles), leather dust, powder and flour"
411100,"Leather: composition leather, with a basis of leather or leather fibres, in slabs, sheets or strip, whether or not in rolls"
420100,"Saddlery and harness: for any animal (including traces, leads, knee pads, muzzles, saddle cloths, saddle bags, dog coats and the like), of any materials"
420211,"Cases and containers: trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, with outer surface of leather, of composition leather or of patent leather"
420212,"Cases and containers: trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, with outer surface of plastics or of textile materials"
420219,"Cases and containers: trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, with outer surface of vulcanised fibre or of paperboard"
420221,"Cases and containers: handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather, of composition leather or of patent leather"
420222,"Cases and containers: handbags (whether or not with shoulder strap and including those without handle), with outer surface of plastic sheeting or of textile materials"
420229,"Cases and containers: handbags (whether or not with shoulder strap and including those without handle), with outer surface of vulcanised fibre or of paperboard"
420231,"Cases and containers: of a kind normally carried in the pocket or in the handbag, with outer surface of leather or composition leather or of patent leather"
420232,"Cases and containers: of a kind normally carried in the pocket or in the handbag, with outer surface of plastic sheeting or of textile materials"
420239,"Cases and containers: of a kind normally carried in the pocket or in the handbag, with outer surface of vulcanised fibre or paperboard"
420291,"Cases and containers: with outer surface of leather, of composition leather or of patent leather, n.e.s. in heading no. 4202"
420292,"Cases and containers: with outer surface of plastic sheeting or of textile materials, n.e.s. in heading no. 4202"
420299,"Cases and containers: with outer surface of vulcanised fibre or paperboard, n.e.s. in heading no. 4202"
420310,"Apparel: articles of apparel, of leather or of composition leather"
420321,"Clothing accessories: gloves, mittens and mitts, specially designed for use in sports, of leather or composition leather, padded"
420329,"Clothing accessories: gloves, mittens and mitts, n.e.s. in heading no. 4203, of leather or composition leather, not specially designed for use in sports"
420330,"Clothing accessories: belts and bandoliers, of leather or of composition leather"
420340,"Clothing accessories: of leather or of composition leather, n.e.s. in heading no. 4203"
420400,"Leather articles: of a kind used in machinery, mechanical appliances or for other technical uses, of leather or composition leather"
420500,"Leather articles: n.e.s. in chapter 42, of leather or composition leather"
420610,Gut articles: catgut
420690,"Gut articles: (other than silk-worm or catgut), of goldbeater's skin, bladders or tendons"
430110,"Furskins: raw, of mink, whole, with or without head, tail or paws"
430120,"Furskins: raw, of rabbit or hare, whole, with or without head, tail or paws"
430130,"Furskins: raw, of Astrakhan, Broadtail, Caracul, Persian and similar lamb, Indian, Chinese, Mongolian or Tibetan lamb, whole, with or without head, tail or paws"
430140,"Furskins: raw, of beaver, whole, with or without head, tail or paws"
430150,"Furskins: raw, of musk-rat, whole, with or without head, tail or paws"
430160,"Furskins: raw, of fox, whole, with or without head, tail or paws"
430170,"Furskins: raw, of seal, whole, with or without head, tail or paws"
430180,"Furskins: raw, of animals n.e.s. in heading no. 4301, whole, with or without head, tail or paws (excluding goods of heading no. 4101, 4102 and 4103)"
430190,"Furskins: raw, heads, tails, paws and other pieces or cuttings, suitable for furrier's use, excluding goods of heading no. 4101, 4102 and 4103"
430211,"Furskins: tanned or dressed, of mink, whole, with or without head, tail or paws, not assembled"
430212,"Furskins: tanned or dressed, of rabbit or hare, whole, with or without head, tail or paws, not assembled"
430213,"Furskins: tanned or dressed, Astrakhan, Broadtail, Caracul, Persian and similar lamb, Indian, Chinese, Mongolian or Tibetan lamb, whole, with or without head, tail or paws, not assembled"
430219,"Furskins: tanned or dressed, whole, with or without head, tail or paws, not assembled, n.e.s. in heading no. 4302, excluding goods or heading no. 4303"
430220,"Furskins: tanned or dressed, heads, tails, paws and other pieces or cuttings, not assembled, excluding goods of heading no. 4303"
430230,"Furskins: tanned or dressed, whole skins and pieces or cuttings thereof, assembled, excluding goods of heading no. 4303"
430310,Furskin articles: apparel and clothing accessories
430390,Furskin articles: other than apparel and clothing accessories
430400,"Fur, artificial: articles thereof"
440110,"Wood: for fuel, in logs, billets, twigs, faggots or similar forms"
440121,"Wood: in chips or particles, coniferous"
440122,"Wood: in chips or particles, non-coniferous"
440130,"Wood: sawdust, waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms"
440200,"Wood: charcoal (including shell or nut charcoal), whether or not agglomerated"
440310,"Wood: in the rough, whether or not stripped of bark or sapwood, or roughly squared: treated with paint, stains, creosote or other preservatives"
440320,"Wood: coniferous, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated"
440331,"Wood: dark red meranti, light red meranti, meranti bakau: in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated"
